4  9.01748	-1.109760e+00	3.548637e-01	4.415574e-02	6.740612e-01	1.004795e+00	8.053457e-01	3.341813e+00	1.721020e-01	2.950064e-01	-4.114647e+01	-2.951823e+01	-2.198754e+01	-3.569036e+01	-3.033783e-01	-2.958115e-01	-2.918114e-01	-2.977152e-01	
5  8.09577	-1.119780e+00	3.904710e-01	4.454163e-02	6.740900e-01	1.004149e+00	8.108038e-01	3.403094e+00	1.812056e-01	2.974717e-01	-3.830157e+01	-2.890788e+01	-1.722847e+01	-3.373551e+01	-3.055868e-01	-2.984091e-01	-2.948864e-01	-3.001244e-01	
2  5.71459	-1.086030e+00	2.818365e-01	4.610549e-02	6.723747e-01	9.910497e-01	8.051970e-01	3.246731e+00	1.652777e-01	3.038912e-01	-3.046438e+01	-2.839531e+01	-1.124261e+01	-3.477700e+01	-3.140344e-01	-3.054842e-01	-3.027783e-01	-3.079108e-01	
3  5.85072	-1.138017e+00	4.829944e-01	4.560334e-02	6.724144e-01	9.946676e-01	8.136559e-01	3.194640e+00	1.354322e-01	2.986469e-01	-3.559824e+01	-3.441269e+01	-1.006973e+01	-4.364430e+01	-3.105144e-01	-3.017017e-01	-3.001881e-01	-3.048661e-01	
1  4.94904	-1.100834e+00	3.543101e-01	4.635054e-02	6.716722e-01	9.865780e-01	8.073544e-01	3.112152e+00	1.627146e-01	3.033718e-01	-2.399721e+01	-3.402073e+01	-1.065437e+01	-3.530922e+01	-3.160466e-01	-3.053913e-01	-3.041181e-01	-3.101720e-01	
2  5.27556	-1.099684e+00	3.234907e-01	4.676345e-02	6.728477e-01	9.855756e-01	8.093030e-01	3.052596e+00	1.445610e-01	3.022740e-01	-2.065323e+01	-1.891205e+01	4.560290e+00	-2.766205e+01	-3.133949e-01	-3.042417e-01	-3.025049e-01	-3.070719e-01	
3  4.00908	-1.105148e+00	2.584783e-01	4.781380e-02	6.763314e-01	9.820533e-01	8.184965e-01	3.039291e+00	9.808894e-02	3.017791e-01	-3.344802e+00	-7.610105e+00	1.130797e+01	-3.447488e+00	-3.072625e-01	-2.976269e-01	-2.946045e-01	-3.005949e-01	
3  3.82184	-1.054867e+00	6.804079e-02	4.963130e-02	6.756976e-01	9.710776e-01	8.127163e-01	2.941427e+00	1.143211e-01	3.107613e-01	2.806020e+00	5.142585e-01	1.132759e+01	-6.929543e-01	-3.147019e-01	-3.051679e-01	-3.007514e-01	-3.074289e-01	
1  3.68494	-1.085047e+00	2.105272e-01	4.897188e-02	6.749683e-01	9.772304e-01	8.148195e-01	2.952814e+00	1.139894e-01	3.071073e-01	-6.272561e+00	-2.157794e+00	8.336390e+00	-3.253381e+00	-3.131485e-01	-3.041434e-01	-3.006590e-01	-3.069747e-01	
3  3.10416	-1.066950e+00	1.507822e-01	4.867428e-02	6.737411e-01	9.700941e-01	8.079719e-01	2.899459e+00	1.185254e-01	3.094093e-01	-5.750769e+00	-8.462028e-01	7.660777e+00	8.631820e-03	-3.163883e-01	-3.070971e-01	-3.037564e-01	-3.105647e-01	
3  4.1575	-1.080409e+00	2.473563e-01	4.685636e-02	6.723446e-01	9.730226e-01	8.086489e-01	3.025438e+00	1.370986e-01	3.065788e-01	-3.685988e+00	-3.059389e+00	4.173860e+00	-4.861005e+00	-3.180971e-01	-3.098840e-01	-3.055723e-01	-3.126732e-01	
1  6.10383	-1.108406e+00	2.848595e-01	4.530454e-02	6.743205e-01	9.769117e-01	8.128559e-01	3.118466e+00	1.069418e-01	3.000868e-01	-5.186751e+00	-5.609137e+00	-2.902220e+00	-1.765225e+01	-3.079696e-01	-2.999136e-01	-2.952384e-01	-3.019696e-01	
3  5.92007	-1.038231e+00	-1.233259e-01	4.773593e-02	6.737090e-01	9.617490e-01	7.951462e-01	2.815084e+00	1.751933e-01	3.112120e-01	-8.238379e+00	-1.285919e+01	-5.303661e+00	-1.229930e+01	-3.108291e-01	-3.009418e-01	-2.980389e-01	-3.052657e-01	
3  4.88212	-1.012545e+00	-1.734054e-01	4.911400e-02	6.734183e-01	9.550119e-01	7.960081e-01	2.729263e+00	1.655779e-01	3.164925e-01	-3.717155e+00	-1.069823e+01	3.914672e+00	3.732762e-02	-3.170202e-01	-3.065599e-01	-3.049713e-01	-3.125986e-01	
5  5.07408	-1.046490e+00	-2.590202e-02	4.692555e-02	6.737336e-01	9.621127e-01	7.996693e-01	2.956989e+00	1.603025e-01	3.117642e-01	-6.181399e+00	-1.286943e+01	-5.370656e+00	1.021968e+00	-3.137912e-01	-3.030435e-01	-3.009720e-01	-3.092887e-01	
2  6.94386	-1.001802e+00	-1.867842e-01	4.770105e-02	6.731249e-01	9.599235e-01	7.926161e-01	2.972330e+00	1.711923e-01	3.161143e-01	-6.181709e+00	-2.013569e+01	-8.458341e+00	-4.264321e+00	-3.174970e-01	-3.057174e-01	-3.042097e-01	-3.118945e-01	
5  6.47274	-1.030819e+00	-1.262033e-01	4.598501e-02	6.751203e-01	9.679275e-01	7.958728e-01	3.107847e+00	1.258897e-01	3.067440e-01	-4.841856e+00	-6.292835e+00	-1.530200e+00	-4.871332e+00	-3.066190e-01	-2.967496e-01	-2.935024e-01	-3.003290e-01	
1  5.57215	-9.985349e-01	-1.389370e-01	4.707073e-02	6.721108e-01	9.615308e-01	7.912880e-01	3.058026e+00	1.237898e-01	3.126646e-01	-9.278311e+00	-2.948481e+00	3.434673e+00	-1.144224e+01	-3.178286e-01	-3.094391e-01	-3.053988e-01	-3.122461e-01	
8  6.23226	-1.061427e+00	1.181118e-01	4.487397e-02	6.726867e-01	9.723958e-01	8.017735e-01	3.287583e+00	8.629475e-02	3.049211e-01	-1.605707e+01	-1.354453e+01	9.736739e-01	-2.347316e+01	-3.119326e-01	-3.037640e-01	-3.004189e-01	-3.071780e-01	
7  7.98804	-1.063327e+00	1.344951e-01	4.294869e-02	6.736436e-01	9.828759e-01	8.004981e-01	3.504748e+00	7.478466e-02	2.997384e-01	-2.585867e+01	-2.278733e+01	-6.042392e+00	-2.883765e+01	-3.057881e-01	-2.972591e-01	-2.945569e-01	-3.013152e-01	
2  6.94612	-1.084074e+00	1.489088e-01	4.415946e-02	6.746619e-01	9.820908e-01	8.037869e-01	3.308580e+00	3.723219e-02	2.975343e-01	-2.430582e+01	-3.044507e+01	-1.135534e+01	-2.706635e+01	-3.018066e-01	-2.903930e-01	-2.888233e-01	-2.961941e-01	
